time,open,high,low,close,volume
2026-05-26T03:55:00Z,50929.189,50930.189,50922.689,50923.189,134.0
2026-05-26T04:00:00Z,50923.189,50926.689,50915.689,50917.189,149.0
2026-05-26T04:05:00Z,50917.189,50922.689,50908.189,50922.189,175.0
2026-05-26T04:10:00Z,50922.189,50936.189,50921.189,50936.189,166.0
2026-05-26T04:15:00Z,50936.189,50936.189,50928.189,50928.189,181.0
2026-05-26T04:20:00Z,50928.189,50931.189,50927.189,50928.189,120.0
2026-05-26T04:25:00Z,50928.189,50930.189,50922.189,50924.189,153.0
2026-05-26T04:30:00Z,50924.189,50929.689,50921.189,50929.189,134.0
2026-05-26T04:35:00Z,50929.189,50935.689,50923.189,50934.189,180.0
2026-05-26T04:40:00Z,50934.189,50934.189,50924.689,50926.689,115.0
2026-05-26T04:45:00Z,50926.689,50927.189,50912.189,50919.689,315.0
2026-05-26T04:50:00Z,50919.689,50925.189,50918.189,50918.189,193.0
2026-05-26T04:55:00Z,50918.189,50927.189,50917.689,50922.189,184.0
2026-05-26T05:00:00Z,50922.189,50930.189,50912.189,50914.189,357.0
2026-05-26T05:05:00Z,50914.189,50931.189,50910.189,50924.189,337.0
2026-05-26T05:10:00Z,50924.189,50928.189,50921.689,50925.689,262.0
2026-05-26T05:15:00Z,50925.689,50935.189,50923.689,50933.189,174.0
2026-05-26T05:20:00Z,50933.189,50944.189,50931.189,50941.689,200.0
2026-05-26T05:25:00Z,50941.689,50945.689,50936.689,50940.189,148.0
2026-05-26T05:30:00Z,50940.189,50949.189,50936.189,50938.189,353.0
2026-05-26T05:35:00Z,50938.189,50939.689,50932.189,50934.189,231.0
2026-05-26T05:40:00Z,50934.189,50934.189,50921.689,50930.189,215.0
2026-05-26T05:45:00Z,50930.189,50934.189,50916.189,50919.689,298.0
2026-05-26T05:50:00Z,50919.689,50922.689,50915.189,50919.189,245.0
2026-05-26T05:55:00Z,50919.189,50924.689,50914.189,50923.189,214.0
2026-05-26T06:00:00Z,50923.189,50935.189,50913.189,50934.189,463.0
2026-05-26T06:05:00Z,50934.189,50943.189,50934.189,50937.189,361.0
2026-05-26T06:10:00Z,50937.189,50946.189,50934.189,50943.189,328.0
2026-05-26T06:15:00Z,50943.189,50953.19,50940.189,50953.19,161.0
2026-05-26T06:20:00Z,50953.19,50954.69,50946.189,50953.19,174.0
2026-05-26T06:25:00Z,50953.19,50967.69,50913.189,50934.689,658.0
2026-05-26T06:30:00Z,50934.689,50948.689,50933.689,50946.189,523.0
2026-05-26T06:35:00Z,50946.189,50975.69,50945.689,50974.69,453.0
2026-05-26T06:40:00Z,50974.69,50975.69,50955.69,50961.69,263.0
2026-05-26T06:45:00Z,50961.69,50962.69,50938.689,50942.189,273.0
2026-05-26T06:50:00Z,50942.189,50948.689,50936.189,50943.189,214.0
2026-05-26T06:55:00Z,50943.189,50944.189,50928.689,50934.689,251.0
2026-05-26T07:00:00Z,50934.689,50958.69,50908.189,50908.189,976.0
2026-05-26T07:05:00Z,50908.189,50921.689,50878.689,50878.689,1176.0
2026-05-26T07:10:00Z,50878.689,50912.689,50878.689,50906.689,963.0
2026-05-26T07:15:00Z,50906.689,50907.189,50881.689,50900.689,730.0
2026-05-26T07:20:00Z,50900.689,50913.689,50885.689,50909.689,544.0
2026-05-26T07:25:00Z,50909.689,50911.689,50894.189,50896.689,615.0
2026-05-26T07:30:00Z,50896.689,50897.189,50866.689,50880.689,881.0
2026-05-26T07:35:00Z,50880.689,50884.689,50864.689,50880.689,747.0
2026-05-26T07:40:00Z,50880.689,50899.689,50878.689,50898.689,509.0
2026-05-26T07:45:00Z,50898.689,50916.189,50897.689,50910.689,466.0
2026-05-26T07:50:00Z,50910.689,50912.189,50873.689,50874.689,515.0
2026-05-26T07:55:00Z,50874.689,50900.189,50874.189,50897.689,442.0
2026-05-26T08:00:00Z,50897.689,50906.689,50874.689,50888.689,869.0
2026-05-26T08:05:00Z,50888.689,50890.189,50866.689,50873.689,428.0
2026-05-26T08:10:00Z,50873.689,50885.189,50869.689,50873.689,516.0
2026-05-26T08:15:00Z,50873.689,50897.689,50866.689,50891.689,572.0
2026-05-26T08:20:00Z,50891.689,50891.689,50881.689,50886.689,345.0
2026-05-26T08:25:00Z,50886.689,50888.689,50872.189,50875.189,404.0
